,Date,Original,Corpus,Class
0,2013-09-18,support committee longer run planning improvements implementation monetary policy staff presented update potential establishing fixed rate full allotment overnight reverse repurchase agreement rrp facility,support committee longer run planning improvement implementation monetary policy staff present update potential establish fix rate full allotment overnight reverse repurchase agreement rrp facility,0
1,2013-09-18,staff review economic situation information reviewed september   meeting suggested economic activity continued increase moderate rate,staff review economic situation information review september meeting suggest economic activity continued increase moderate rate,0
2,2013-09-18,private sector employment rose july august unemployment rate still elevated,private sector employment rise july august unemployment rate still elevate,0
3,2013-09-18,total consumer price inflation picked recent months continued modest measures longer run inflation expectations remained stable,total consumer price inflation picked recent month continued modest measure longer run inflation expectation remain stable,0
4,2013-09-18,private nonfarm employment continued expand july august somewhat slower pace first half year total government employment edged balance,private nonfarm employment continued expand july august somewhat slow pace first half year total government employment edge balance,0
5,2013-09-18,unemployment rate declined ,unemployment rate decline,0
6,2013-09-18,labor force participation rate also decreased leaving employment population ratio essentially unchanged recent months,labor force participation rate also decrease leave employment population ratio essentially unchanged recent month,0
7,2013-09-18,indicators labor market activity also mixed,indicator labor market activity also mixed,0
8,2013-09-18,measures firms hiring plans moved up initial claims unemployment insurance declined share workers employed part time economic reasons decreased little,measure firm hire plan move up initial claim unemployment insurance decline share worker employ part time economic reason decrease little,0
9,2013-09-18,however household expectations labor market situation deteriorated somewhat rates job openings gross private sector hiring little changed net rate long duration unemployment rose slightly,however household expectation labor market situation deteriorate somewhat rate job opening gross private sector hire little change net rate long duration unemployment rise slightly,0
10,2013-09-18,recent information key factors influence consumer spending mixed households net worth likely expanded home prices posted additional gains july real disposable incomes increased little july consumer sentiment thomson reutersuniversity michigan surveys consumers moved lower august early september,recent information key factor influence consumer spending mixed household net worth likely expand home price post additional gain july real disposable income increase little july consumer sentiment thomson reutersuniversity michigan survey consumer move low august early september,0
11,2013-09-18,growth real private expenditures business equipment intellectual property products appeared subdued going third quarter,growth real private expenditure business equipment intellectual property product appear subdue go third quarter,0
12,2013-09-18,however nominal new orders capital goods continued level shipments pointing increases shipments subsequent months forward looking indicators surveys business conditions consistent moderate gains spending business equipment near term,however nominal new order capital good continued level shipment point increase shipment subsequent month forward look indicator survey business condition consistent moderate gain spending business equipment near term,0
13,2013-09-18,reductions real federal government purchases appeared persist defense spending continued decrease july august federal employment edged further,reduction real federal government purchase appear persist defense spending continued decrease july august federal employment edge far,0
14,2013-09-18,totals inflation measured pce price index july consumer price index august   percent preceding  month period series,total inflation measure pce price index july consumer price index august percent precede month period series,0
15,2013-09-18,consumer food prices edged july august energy prices little changed net two months retail gasoline prices moved first half september,consumer food price edge july august energy price little change net two month retail gasoline price move first half september,0
16,2013-09-18,core consumer price inflation excludes food energy modest july august,core consumer price inflation excludes food energy modest july august,0
17,2013-09-18,near term longer term inflation expectations michigan survey little changed august early september,near term longer term inflation expectation michigan survey little change august early september,0
18,2013-09-18,measures labor compensation indicated increases nominal wages still subdued,measure labor compensation indicate increase nominal wage still subdue,0
19,2013-09-18,compensation per hour unit labor costs nonfarm business sector rose modestly year ending second quarter slight gains productivity,compensation per hour unit labor cost nonfarm business sector rise modestly year end second quarter slight gain productivity,0
20,2013-09-18,july august increases average hourly earnings employees fairly slow balance,july august increase average hourly earnings employee fairly slow balance,0
