,Date,Original,Corpus,Class
0,2004-05-04,meeting federal open market committee held offices board governors federal reserve system washington dc tuesday may   m,meeting federal open market committee held office board governor federal reserve system washington dc tuesday may m,0
1,2004-05-04,messrs,messrs,0
2,2004-05-04,mcteer moskow santomero stern alternate members federal open market committee,mcteer moskow santomero stern alternate member federal open market committee,0
3,2004-05-04,messrs,messrs,0
4,2004-05-04,broaddus guynn presidents federal reserve banks richmond atlanta respectively,broaddus guynn president federal reserve bank richmond atlanta respectively,0
5,2004-05-04,messrs,messrs,0
6,2004-05-04,connors fuhrer hakkio howard madigan rasche struckmeyer tracy wilcox associate economists,connors fuhrer hakkio howard madigan rasche struckmeyer tracy wilcox associate economist,0
7,2004-05-04,mr kos manager system open market account,mr ko manager system open market account,0
8,2004-05-04,mr ettin deputy director division research statistics board governors,mr ettin deputy director division research statistic board governor,0
9,2004-05-04,messrs,messrs,0
10,2004-05-04,slifman oliner associate directors division research statistics board governors,slifman oliner associate director division research statistic board governor,0
11,2004-05-04,messrs,messrs,0
12,2004-05-04,clouse whitesell deputy associate directors division monetary affairs board governors,clouse whitesell deputy associate director division monetary affair board governor,0
13,2004-05-04,messrs,messrs,0
14,2004-05-04,english sheets assistant directors divisions monetary affairs international finance respectively board governors,english sheet assistant director division monetary affair international finance respectively board governor,0
15,2004-05-04,mr simpson senior adviser division research statistics board governors,mr simpson senior adviser division research statistic board governor,0
16,2004-05-04,mr skidmore special assistant board office board members board governors,mr skidmore special assistant board office board member board governor,0
17,2004-05-04,mr bassett economist division monetary affairs board governors,mr bassett economist division monetary affair board governor,0
18,2004-05-04,mr luecke senior financial analyst division monetary affairs board governors,mr luecke senior financial analyst division monetary affair board governor,0
19,2004-05-04,ms low open market secretariat assistant division monetary affairs board governors,m low open market secretariat assistant division monetary affair board governor,0
20,2004-05-04,messrs,messrs,0
21,2004-05-04,connolly moore first vice presidents federal reserve banks boston san francisco respectively,connolly moore first vice president federal reserve bank boston san francisco respectively,0
22,2004-05-04,messrs,messrs,0
23,2004-05-04,eisenbeis evans goodfriend judd ms mester mr rolnick senior vice presidents federal reserve banks atlanta chicago richmond san francisco philadelphia minneapolis respectively,eisenbeis evans goodfriend judd m mester mr rolnick senior vice president federal reserve bank atlanta chicago richmond san francisco philadelphia minneapolis respectively,0
24,2004-05-04,mr altig ms hargraves mr koenig vice presidents federal reserve banks cleveland new york dallas respectively,mr altig m hargraves mr koenig vice president federal reserve bank cleveland new york dallas respectively,0
25,2004-05-04,unanimous vote minutes meeting federal open market committee held march   approved,unanimous vote minute meeting federal open market committee held march approve,0
26,2004-05-04,unanimous vote joseph tracy elected serve associate economist first regularly scheduled meeting committee december   understanding event discontinuance official connection federal reserve bank board governors would cease official connection committee,unanimous vote joseph tracy elect serve associate economist first regularly schedule meeting committee december understand event discontinuance official connection federal reserve bank board governor would cease official connection committee,0
27,2004-05-04,manager system open market account reported recent developments foreign exchange markets,manager system open market account report recent development foreign exchange market,0
