,Date,Original,Corpus,Class
0,2020-03-03,federal reserve central bank united states provides nation safe flexible stable monetary financial system,federal reserve central bank united state provide nation safe flexible stable monetary financial system,0
1,2020-03-03,federal open market committee,federal open market committee,0
2,2020-03-03,monetary policy principles practice,monetary policy principle practice,0
3,2020-03-03,policy implementation,policy implementation,0
4,2020-03-03,reports,report,0
5,2020-03-03,review monetary policy strategy tools communications,review monetary policy strategy tool communication,0
6,2020-03-03,institution supervision,institution supervision,0
7,2020-03-03,reports,report,0
8,2020-03-03,reporting forms,reporting form,0
9,2020-03-03,supervision  regulation letters,supervision regulation letter,0
10,2020-03-03,banking applications  legal developments,banking application legal development,0
11,2020-03-03,regulatory resources,regulatory resource,0
12,2020-03-03,banking  data structure,banking data structure,0
13,2020-03-03,regulations  statutes,regulation statute,0
14,2020-03-03,payment policies,payment policy,0
15,2020-03-03,reserve bank payment services  data,reserve bank payment service data,0
16,2020-03-03,financial market utilities  infrastructures,financial market utility infrastructure,0
17,2020-03-03,research committees forums,research committee forum,0
18,2020-03-03,working papers notes,work paper note,0
19,2020-03-03,models tools,model tool,0
20,2020-03-03,bank assets liabilities,bank asset liability,0
21,2020-03-03,bank structure data,bank structure data,0
22,2020-03-03,business finance,business finance,0
23,2020-03-03,dealer financing terms,dealer financing term,0
24,2020-03-03,exchange rates international data,exchange rate international data,0
25,2020-03-03,financial accounts,financial account,0
26,2020-03-03,household finance,household finance,0
27,2020-03-03,industrial activity,industrial activity,0
28,2020-03-03,interest rates,interest rate,0
29,2020-03-03,micro data reference manual mdrm,micro data reference manual mdrm,0
30,2020-03-03,money stock reserve balances,money stock reserve balance,0
31,2020-03-03,regulations,regulation,0
32,2020-03-03,supervision  enforcement,supervision enforcement,0
33,2020-03-03,community development,community development,0
34,2020-03-03,research  analysis,research analysis,0
35,2020-03-03,consumer resources,consumer resource,0
36,2020-03-03,march  ,march,0
37,2020-03-03,release est share,release est share,0
38,2020-03-03,fundamentalss economy remain strong,fundamentals economy remain strong,0
39,2020-03-03,however coronavirus poses evolving risks economic activity,however coronavirus pose evolve risk economic activity,0
40,2020-03-03,light risks support achieving maximum employment price stability goals federal open market committee decided today lower target range federal funds rate  percentage point   percent,light risk support achieve maximum employment price stability goal federal open market committee decide today low target range federal fund rate percentage point percent,0
41,2020-03-03,committee closely monitoring developments implications economic outlook use tools act appropriate support economy,committee closely monitoring development implication economic outlook use tool act appropriate support economy,0
42,2020-03-03,voting monetary policy action jerome powell chair john williams vice chair michelle bowman lael brainard richard clarida patrick harker robert kaplan neel kashkari loretta mester randal quarles,voting monetary policy action jerome powell chair john williams vice chair michelle bowman lael brainard richard clarida patrick harker robert kaplan neel kashkari loretta mester randal quarles,0
43,2020-03-03,media inquiries call   ,medium inquiry call,0
44,2020-03-03,implementation note issued march  ,implementation note issue march,0
45,2020-03-03,board governors federal reserve system,board governor federal reserve system,0
