,Date,Original,Corpus,Class
0,2009-09-23,federal reserve central bank united states provides nation safe flexible stable monetary financial system,federal reserve central bank united state provide nation safe flexible stable monetary financial system,0
1,2009-09-23,federal open market committee,federal open market committee,0
2,2009-09-23,monetary policy principles practice,monetary policy principle practice,0
3,2009-09-23,policy implementation,policy implementation,0
4,2009-09-23,reports,report,0
5,2009-09-23,review monetary policy strategy tools communications,review monetary policy strategy tool communication,0
6,2009-09-23,institution supervision,institution supervision,0
7,2009-09-23,reports,report,0
8,2009-09-23,reporting forms,reporting form,0
9,2009-09-23,supervision  regulation letters,supervision regulation letter,0
10,2009-09-23,banking applications  legal developments,banking application legal development,0
11,2009-09-23,regulatory resources,regulatory resource,0
12,2009-09-23,banking  data structure,banking data structure,0
13,2009-09-23,regulations  statutes,regulation statute,0
14,2009-09-23,payment policies,payment policy,0
15,2009-09-23,reserve bank payment services  data,reserve bank payment service data,0
16,2009-09-23,financial market utilities  infrastructures,financial market utility infrastructure,0
17,2009-09-23,research committees forums,research committee forum,0
18,2009-09-23,working papers notes,work paper note,0
19,2009-09-23,models tools,model tool,0
20,2009-09-23,bank assets liabilities,bank asset liability,0
21,2009-09-23,bank structure data,bank structure data,0
22,2009-09-23,business finance,business finance,0
23,2009-09-23,dealer financing terms,dealer financing term,0
24,2009-09-23,exchange rates international data,exchange rate international data,0
25,2009-09-23,financial accounts,financial account,0
26,2009-09-23,household finance,household finance,0
27,2009-09-23,industrial activity,industrial activity,0
28,2009-09-23,interest rates,interest rate,0
29,2009-09-23,micro data reference manual mdrm,micro data reference manual mdrm,0
30,2009-09-23,money stock reserve balances,money stock reserve balance,0
31,2009-09-23,regulations,regulation,0
32,2009-09-23,supervision  enforcement,supervision enforcement,0
33,2009-09-23,community development,community development,0
34,2009-09-23,research  analysis,research analysis,0
35,2009-09-23,consumer resources,consumer resource,0
36,2009-09-23,september  ,september,0
37,2009-09-23,immediate release share,immediate release share,0
38,2009-09-23,information received since federal open market committee met august suggests economic activity picked following severe downturn,information receive since federal open market committee met august suggests economic activity picked follow severe downturn,0
39,2009-09-23,conditions financial markets improved further activity housing sector increased,condition financial market improve far activity housing sector increase,0
40,2009-09-23,household spending seems stabilizing remains constrained ongoing job losses sluggish income growth lower housing wealth tight credit,household spending seem stabilize remains constrain ongoing job loss sluggish income growth low housing wealth tight credit,0
41,2009-09-23,businesses still cutting back fixed investment staffing though slower pace continue make progress bringing inventory stocks better alignment sales,business still cut back fix investment staff though slow pace continue make progress bring inventory stock well alignment sale,0
42,2009-09-23,although economic activity likely remain weak time committee anticipates policy actions stabilize financial markets institutions fiscal monetary stimulus market forces support strengthening economic growth gradual return higher levels resource utilization context price stability,although economic activity likely remain weak time committee anticipates policy action stabilize financial market institution fiscal monetary stimulus market force support strengthen economic growth gradual return high level resource utilization context price stability,0
43,2009-09-23,substantial resource slack likely continue dampen cost pressures longer term inflation expectations stable committee expects inflation remain subdued time,substantial resource slack likely continue dampen cost pressure longer term inflation expectation stable committee expect inflation remain subdue time,0
44,2009-09-23,circumstances federal reserve continue employ wide range tools promote economic recovery preserve price stability,circumstance federal reserve continue employ wide range tool promote economic recovery preserve price stability,0
45,2009-09-23,committee maintain target range federal funds rate   percent continues anticipate economic conditions likely warrant exceptionally low levels federal funds rate extended period,committee maintain target range federal fund rate percent continue anticipate economic condition likely warrant exceptionally low level federal fund rate extend period,0
46,2009-09-23,provide support mortgage lending housing markets improve overall conditions private credit markets federal reserve purchase total ,provide support mortgage lending housing market improve overall condition private credit market federal reserve purchase total,0
47,2009-09-23, trillion agency mortgage backed securities  billion agency debt,trillion agency mortgage back security billion agency debt,0
48,2009-09-23,committee gradually slow pace purchases order promote smooth transition markets anticipates executed end first quarter ,committee gradually slow pace purchase order promote smooth transition market anticipates execute end first quarter,0
49,2009-09-23,previously announced federal reservepurchases  billion treasury securities completed end october ,previously announce federal reservepurchases billion treasury security complete end october,0
50,2009-09-23,committee continue evaluate timing overall amounts purchases securities light evolving economic outlook conditions financial markets,committee continue evaluate timing overall amount purchase security light evolve economic outlook condition financial market,0
51,2009-09-23,federal reserve monitoring size composition balance sheet make adjustments credit liquidity programs warranted,federal reserve monitoring size composition balance sheet make adjustment credit liquidity program warrant,0
52,2009-09-23,voting fomc monetary policy action were ben bernanke chairman william dudley vice chairman elizabeth duke charles evans donald kohn jeffrey lacker dennis lockhart daniel tarullo kevin warsh janet yellen,voting fomc monetary policy action be ben bernanke chairman william dudley vice chairman elizabeth duke charles evans donald kohn jeffrey lacker dennis lockhart daniel tarullo kevin warsh janet yellen,0
53,2009-09-23,board governors federal reserve system,board governor federal reserve system,0
