,Date,Original,Corpus,Class
0,2014-12-17,information received since federal open market committee met october suggests economic activity expanding moderate pace,information receive since federal open market committee met october suggests economic activity expand moderate pace,0
1,2014-12-17,labor market conditions improved further solid job gains lower unemployment rate,labor market condition improve far solid job gain low unemployment rate,0
2,2014-12-17,balance range labor market indicators suggests underutilization labor resources continues diminish,balance range labor market indicator suggests underutilization labor resource continue diminish,0
3,2014-12-17,household spending rising moderately business fixed investment advancing recovery housing sector remains slow,household spending rise moderately business fix investment advance recovery housing sector remains slow,0
4,2014-12-17,inflation continued run committee longer run objective partly reflecting declines energy prices,inflation continued run committee longer run objective partly reflect decline energy price,0
5,2014-12-17,market based measures inflation compensation declined somewhat further survey based measures longer term inflation expectations remained stable,market base measure inflation compensation decline somewhat far survey base measure longer term inflation expectation remain stable,0
6,2014-12-17,consistent statutory mandate committee seeks foster maximum employment price stability,consistent statutory mandate committee seek foster maximum employment price stability,0
7,2014-12-17,committee expects that appropriate policy accommodation economic activity expand moderate pace labor market indicators moving toward levels committee judges consistent dual mandate,committee expect that appropriate policy accommodation economic activity expand moderate pace labor market indicator move toward level committee judge consistent dual mandate,0
8,2014-12-17,committee sees risks outlook economic activity labor market nearly balanced,committee see risk outlook economic activity labor market nearly balance,0
9,2014-12-17,committee expects inflation rise gradually toward  percent labor market improves transitory effects lower energy prices factors dissipate,committee expect inflation rise gradually toward percent labor market improves transitory effect low energy price factor dissipate,0
10,2014-12-17,committee continues monitor inflation developments closely,committee continue monitor inflation development closely,0
11,2014-12-17,support continued progress toward maximum employment price stability committee today reaffirmed view current   percent target range federal funds rate remains appropriate,support continued progress toward maximum employment price stability committee today reaffirm view current percent target range federal fund rate remains appropriate,0
12,2014-12-17,determining long maintain target range committee assess progress realized expected toward objectives maximum employment  percent inflation,determine long maintain target range committee ass progress realize expect toward objective maximum employment percent inflation,0
13,2014-12-17,assessment take account wide range information including measures labor market conditions indicators inflation pressures inflation expectations readings financial developments,assessment take account wide range information include measure labor market condition indicator inflation pressure inflation expectation reading financial development,0
14,2014-12-17,committee sees guidance consistent previous statement likely appropriate maintain   percent target range federal funds rate considerable time following end asset purchase program october especially projected inflation continues run committee  percent longer run goal provided longer term inflation expectations remain well anchored,committee see guidance consistent previous statement likely appropriate maintain percent target range federal fund rate considerable time follow end asset purchase program october especially project inflation continue run committee percent longer run goal provide longer term inflation expectation remain well anchor,0
15,2014-12-17,however incoming information indicates faster progress toward committee employment inflation objectives committee expects increases target range federal funds rate likely occur sooner currently anticipated,however incoming information indicates faster progress toward committee employment inflation objective committee expect increase target range federal fund rate likely occur sooner currently anticipate,0
16,2014-12-17,committee decides begin remove policy accommodation take balanced approach consistent longer run goals maximum employment inflation  percent,committee decides begin remove policy accommodation take balance approach consistent longer run goal maximum employment inflation percent,0
17,2014-12-17,committee currently anticipates that even employment inflation near mandate consistent levels economic conditions may time warrant keeping target federal funds rate levels committee views normal longer run,committee currently anticipates that even employment inflation near mandate consistent level economic condition may time warrant keep target federal fund rate level committee view normal longer run,0
18,2014-12-17,voting action richard fisher believed that committee patient beginning normalize monetary policy improvements economic performance since october moved forward majority committee envisions date likely appropriate increase federal funds rate narayana kocherlakota believed committee decision context ongoing low inflation falling market based measures longer term inflation expectations created undue downside risk credibility  percent inflation target charles plosser believed statement not stress importance passage time key element forward guidance and given improvement economic conditions not emphasize consistency current forward guidance previous statements,voting action richard fisher believe that committee patient begin normalize monetary policy improvement economic performance since october move forward majority committee envisions date likely appropriate increase federal fund rate narayana kocherlakota believe committee decision context ongoing low inflation fall market base measure longer term inflation expectation create undue downside risk credibility percent inflation target charles plosser believe statement not stress importance passage time key element forward guidance and give improvement economic condition not emphasize consistency current forward guidance previous statement,0
