,Date,Original,Corpus,Class
0,2018-03-21,information received since federal open market committee met january indicates labor market continued strengthen economic activity rising moderate rate,information receive since federal open market committee met january indicates labor market continued strengthen economic activity rise moderate rate,0
1,2018-03-21,job gains strong recent months unemployment rate stayed low,job gain strong recent month unemployment rate stayed low,0
2,2018-03-21,recent data suggest growth rates household spending business fixed investment moderated strong fourth quarter readings,recent data suggest growth rate household spending business fix investment moderate strong fourth quarter reading,0
3,2018-03-21, month basis overall inflation inflation items food energy continued run  percent,month basis overall inflation inflation item food energy continued run percent,0
4,2018-03-21,market based measures inflation compensation increased recent months remain low survey based measures longer term inflation expectations little changed balance,market base measure inflation compensation increase recent month remain low survey base measure longer term inflation expectation little change balance,0
5,2018-03-21,consistent statutory mandate committee seeks foster maximum employment price stability,consistent statutory mandate committee seek foster maximum employment price stability,0
6,2018-03-21,economic outlook strengthened recent months,economic outlook strengthen recent month,0
7,2018-03-21,committee expects that gradual adjustments stance monetary policy economic activity expand moderate pace medium term labor market conditions remain strong,committee expect that gradual adjustment stance monetary policy economic activity expand moderate pace medium term labor market condition remain strong,0
8,2018-03-21,inflation  month basis expected move coming months stabilize around committee  percent objective medium term,inflation month basis expect move come month stabilize around committee percent objective medium term,0
9,2018-03-21,near term risks economic outlook appear roughly balanced committee monitoring inflation developments closely,near term risk economic outlook appear roughly balance committee monitoring inflation development closely,0
10,2018-03-21,view realized expected labor market conditions inflation committee decided raise target range federal funds rate     percent,view realize expect labor market condition inflation committee decide raise target range federal fund rate percent,0
11,2018-03-21,stance monetary policy remains accommodative thereby supporting strong labor market conditions sustained return  percent inflation,stance monetary policy remains accommodative thereby support strong labor market condition sustain return percent inflation,0
12,2018-03-21,determining timing size future adjustments target range federal funds rate committee assess realized expected economic conditions relative objectives maximum employment  percent inflation,determine timing size future adjustment target range federal fund rate committee ass realize expect economic condition relative objective maximum employment percent inflation,0
13,2018-03-21,assessment take account wide range information including measures labor market conditions indicators inflation pressures inflation expectations readings financial international developments,assessment take account wide range information include measure labor market condition indicator inflation pressure inflation expectation reading financial international development,0
14,2018-03-21,committee carefully monitor actual expected inflation developments relative symmetric inflation goal,committee carefully monitor actual expect inflation development relative symmetric inflation goal,0
15,2018-03-21,committee expects economic conditions evolve manner warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run,committee expect economic condition evolve manner warrant gradual increase federal fund rate federal fund rate likely remain time level expect prevail longer run,0
16,2018-03-21,however actual path federal funds rate depend economic outlook informed incoming data,however actual path federal fund rate depend economic outlook inform incoming data,0
