,Date,Original,Corpus,Class
0,2001-04-18,fomc reviewed prospects economy light information become available since march meeting,fomc review prospect economy light information become available since march meeting,0
1,2001-04-18,nonetheless capital investment continued soften persistent erosion current expected profitability combination rising uncertainty business outlook seems poised dampen capital spending going forward,nonetheless capital investment continued soften persistent erosion current expect profitability combination rise uncertainty business outlook seem poise dampen capital spending go forward,0
2,2001-04-18,potential restraint together possible effects earlier reductions equity wealth consumption risk slower growth abroad threatens keep pace economic activity unacceptably weak,potential restraint together possible effect earlier reduction equity wealth consumption risk slow growth abroad threatens keep pace economic activity unacceptably weak,0
3,2001-04-18,committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness foreseeable future,committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness foreseeable future,0
4,2001-04-18,fomc reviewed prospects economy light information become available since march meeting,fomc review prospect economy light information become available since march meeting,0
5,2001-04-18,nonetheless capital investment continued soften persistent erosion current expected profitability combination rising uncertainty business outlook seems poised dampen capital spending going forward,nonetheless capital investment continued soften persistent erosion current expect profitability combination rise uncertainty business outlook seem poise dampen capital spending go forward,0
6,2001-04-18,potential restraint together possible effects earlier reductions equity wealth consumption risk slower growth abroad threatens keep pace economic activity unacceptably weak,potential restraint together possible effect earlier reduction equity wealth consumption risk slow growth abroad threatens keep pace economic activity unacceptably weak,0
7,2001-04-18,committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness foreseeable future,committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness foreseeable future,0
8,2001-04-18,fomc reviewed prospects economy light information become available since march meeting,fomc review prospect economy light information become available since march meeting,0
9,2001-04-18,nonetheless capital investment continued soften persistent erosion current expected profitability combination rising uncertainty business outlook seems poised dampen capital spending going forward,nonetheless capital investment continued soften persistent erosion current expect profitability combination rise uncertainty business outlook seem poise dampen capital spending go forward,0
10,2001-04-18,potential restraint together possible effects earlier reductions equity wealth consumption risk slower growth abroad threatens keep pace economic activity unacceptably weak,potential restraint together possible effect earlier reduction equity wealth consumption risk slow growth abroad threatens keep pace economic activity unacceptably weak,0
11,2001-04-18,committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness foreseeable future,committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness foreseeable future,0
12,2001-04-18,fomc reviewed prospects economy light information become available since march meeting,fomc review prospect economy light information become available since march meeting,0
13,2001-04-18,nonetheless capital investment continued soften persistent erosion current expected profitability combination rising uncertainty business outlook seems poised dampen capital spending going forward,nonetheless capital investment continued soften persistent erosion current expect profitability combination rise uncertainty business outlook seem poise dampen capital spending go forward,0
14,2001-04-18,potential restraint together possible effects earlier reductions equity wealth consumption risk slower growth abroad threatens keep pace economic activity unacceptably weak,potential restraint together possible effect earlier reduction equity wealth consumption risk slow growth abroad threatens keep pace economic activity unacceptably weak,0
15,2001-04-18,committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness foreseeable future,committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness foreseeable future,0
16,2001-04-18,fomc reviewed prospects economy light information become available since march meeting,fomc review prospect economy light information become available since march meeting,0
17,2001-04-18,nonetheless capital investment continued soften persistent erosion current expected profitability combination rising uncertainty business outlook seems poised dampen capital spending going forward,nonetheless capital investment continued soften persistent erosion current expect profitability combination rise uncertainty business outlook seem poise dampen capital spending go forward,0
18,2001-04-18,potential restraint together possible effects earlier reductions equity wealth consumption risk slower growth abroad threatens keep pace economic activity unacceptably weak,potential restraint together possible effect earlier reduction equity wealth consumption risk slow growth abroad threatens keep pace economic activity unacceptably weak,0
19,2001-04-18,committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness foreseeable future,committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness foreseeable future,0
20,2001-04-18,nonetheless capital investment continued soften persistent erosion current expected profitability combination rising uncertainty business outlook seems poised dampen capital spending going forward,nonetheless capital investment continued soften persistent erosion current expect profitability combination rise uncertainty business outlook seem poise dampen capital spending go forward,0
21,2001-04-18,potential restraint together possible effects earlier reductions equity wealth consumption risk slower growth abroad threatens keep pace economic activity unacceptably weak,potential restraint together possible effect earlier reduction equity wealth consumption risk slow growth abroad threatens keep pace economic activity unacceptably weak,0
22,2001-04-18,committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness foreseeable future,committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness foreseeable future,0
23,2001-04-18,committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness foreseeable future,committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness foreseeable future,0
