,Date,Original,Corpus,Class
0,2005-08-09,committee believes that even action stance monetary policy remains accommodative and coupled robust underlying growth productivity providing ongoing support economic activity,committee believe that even action stance monetary policy remains accommodative and couple robust underlie growth productivity provide ongoing support economic activity,0
1,2005-08-09,aggregate spending despite high energy prices appears strengthened since late winter labor market conditions continue improve gradually,aggregate spending despite high energy price appear strengthen since late winter labor market condition continue improve gradually,0
2,2005-08-09,core inflation relatively low recent months longer term inflation expectations remain well contained pressures inflation stayed elevated,core inflation relatively low recent month longer term inflation expectation remain well contain pressure inflation stayed elevate,0
3,2005-08-09,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
4,2005-08-09,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
5,2005-08-09,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
6,2005-08-09,committee believes that even action stance monetary policy remains accommodative and coupled robust underlying growth productivity providing ongoing support economic activity,committee believe that even action stance monetary policy remains accommodative and couple robust underlie growth productivity provide ongoing support economic activity,0
7,2005-08-09,aggregate spending despite high energy prices appears strengthened since late winter labor market conditions continue improve gradually,aggregate spending despite high energy price appear strengthen since late winter labor market condition continue improve gradually,0
8,2005-08-09,core inflation relatively low recent months longer term inflation expectations remain well contained pressures inflation stayed elevated,core inflation relatively low recent month longer term inflation expectation remain well contain pressure inflation stayed elevate,0
9,2005-08-09,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
10,2005-08-09,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
11,2005-08-09,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
12,2005-08-09,committee believes that even action stance monetary policy remains accommodative and coupled robust underlying growth productivity providing ongoing support economic activity,committee believe that even action stance monetary policy remains accommodative and couple robust underlie growth productivity provide ongoing support economic activity,0
13,2005-08-09,aggregate spending despite high energy prices appears strengthened since late winter labor market conditions continue improve gradually,aggregate spending despite high energy price appear strengthen since late winter labor market condition continue improve gradually,0
14,2005-08-09,core inflation relatively low recent months longer term inflation expectations remain well contained pressures inflation stayed elevated,core inflation relatively low recent month longer term inflation expectation remain well contain pressure inflation stayed elevate,0
15,2005-08-09,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
16,2005-08-09,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
17,2005-08-09,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
18,2005-08-09,committee believes that even action stance monetary policy remains accommodative and coupled robust underlying growth productivity providing ongoing support economic activity,committee believe that even action stance monetary policy remains accommodative and couple robust underlie growth productivity provide ongoing support economic activity,0
19,2005-08-09,aggregate spending despite high energy prices appears strengthened since late winter labor market conditions continue improve gradually,aggregate spending despite high energy price appear strengthen since late winter labor market condition continue improve gradually,0
20,2005-08-09,core inflation relatively low recent months longer term inflation expectations remain well contained pressures inflation stayed elevated,core inflation relatively low recent month longer term inflation expectation remain well contain pressure inflation stayed elevate,0
21,2005-08-09,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
22,2005-08-09,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
23,2005-08-09,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
