,Date,Original,Corpus,Class
0,2002-06-26,information become available since last meeting committee confirms economic activity continuing increase,information become available since last meeting committee confirms economic activity continue increase,0
1,2002-06-26,however upward impetus swing inventory investment growth final demand appear moderated,however upward impetus swing inventory investment growth final demand appear moderate,0
2,2002-06-26,committee expects rate increase final demand pick coming quarters supported part robust underlying growth productivity degree strengthening remains uncertain,committee expect rate increase final demand pick come quarter support part robust underlie growth productivity degree strengthen remains uncertain,0
3,2002-06-26,circumstances although stance monetary policy currently accommodative committee believes that foreseeable future background long run goals price stability sustainable economic growth information currently available risks balanced respect prospects goals,circumstance although stance monetary policy currently accommodative committee believe that foreseeable future background long run goal price stability sustainable economic growth information currently available risk balance respect prospect goal,0
4,2002-06-26,information become available since last meeting committee confirms economic activity continuing increase,information become available since last meeting committee confirms economic activity continue increase,0
5,2002-06-26,however upward impetus swing inventory investment growth final demand appear moderated,however upward impetus swing inventory investment growth final demand appear moderate,0
6,2002-06-26,committee expects rate increase final demand pick coming quarters supported part robust underlying growth productivity degree strengthening remains uncertain,committee expect rate increase final demand pick come quarter support part robust underlie growth productivity degree strengthen remains uncertain,0
7,2002-06-26,circumstances although stance monetary policy currently accommodative committee believes that foreseeable future background long run goals price stability sustainable economic growth information currently available risks balanced respect prospects goals,circumstance although stance monetary policy currently accommodative committee believe that foreseeable future background long run goal price stability sustainable economic growth information currently available risk balance respect prospect goal,0
8,2002-06-26,information become available since last meeting committee confirms economic activity continuing increase,information become available since last meeting committee confirms economic activity continue increase,0
9,2002-06-26,however upward impetus swing inventory investment growth final demand appear moderated,however upward impetus swing inventory investment growth final demand appear moderate,0
10,2002-06-26,committee expects rate increase final demand pick coming quarters supported part robust underlying growth productivity degree strengthening remains uncertain,committee expect rate increase final demand pick come quarter support part robust underlie growth productivity degree strengthen remains uncertain,0
11,2002-06-26,circumstances although stance monetary policy currently accommodative committee believes that foreseeable future background long run goals price stability sustainable economic growth information currently available risks balanced respect prospects goals,circumstance although stance monetary policy currently accommodative committee believe that foreseeable future background long run goal price stability sustainable economic growth information currently available risk balance respect prospect goal,0
12,2002-06-26,information become available since last meeting committee confirms economic activity continuing increase,information become available since last meeting committee confirms economic activity continue increase,0
13,2002-06-26,however upward impetus swing inventory investment growth final demand appear moderated,however upward impetus swing inventory investment growth final demand appear moderate,0
14,2002-06-26,committee expects rate increase final demand pick coming quarters supported part robust underlying growth productivity degree strengthening remains uncertain,committee expect rate increase final demand pick come quarter support part robust underlie growth productivity degree strengthen remains uncertain,0
15,2002-06-26,circumstances although stance monetary policy currently accommodative committee believes that foreseeable future background long run goals price stability sustainable economic growth information currently available risks balanced respect prospects goals,circumstance although stance monetary policy currently accommodative committee believe that foreseeable future background long run goal price stability sustainable economic growth information currently available risk balance respect prospect goal,0
16,2002-06-26,information become available since last meeting committee confirms economic activity continuing increase,information become available since last meeting committee confirms economic activity continue increase,0
17,2002-06-26,however upward impetus swing inventory investment growth final demand appear moderated,however upward impetus swing inventory investment growth final demand appear moderate,0
18,2002-06-26,committee expects rate increase final demand pick coming quarters supported part robust underlying growth productivity degree strengthening remains uncertain,committee expect rate increase final demand pick come quarter support part robust underlie growth productivity degree strengthen remains uncertain,0
19,2002-06-26,circumstances although stance monetary policy currently accommodative committee believes that foreseeable future background long run goals price stability sustainable economic growth information currently available risks balanced respect prospects goals,circumstance although stance monetary policy currently accommodative committee believe that foreseeable future background long run goal price stability sustainable economic growth information currently available risk balance respect prospect goal,0
20,2002-06-26,circumstances although stance monetary policy currently accommodative committee believes that foreseeable future background long run goals price stability sustainable economic growth information currently available risks balanced respect prospects goals,circumstance although stance monetary policy currently accommodative committee believe that foreseeable future background long run goal price stability sustainable economic growth information currently available risk balance respect prospect goal,0
