,Date,Original,Corpus,Class
0,2001-09-17,even tragic events last week employment production business spending remained weak last week events potential damp spending further,even tragic event last week employment production business spending remain weak last week event potential damp spending far,0
1,2001-09-17,nonetheless long term prospects productivity growth economy remain favorable become evident unusual forces restraining demand abate,nonetheless long term prospect productivity growth economy remain favorable become evident unusual force restrain demand abate,0
2,2001-09-17,foreseeable future committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness,foreseeable future committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness,0
3,2001-09-17,even tragic events last week employment production business spending remained weak last week events potential damp spending further,even tragic event last week employment production business spending remain weak last week event potential damp spending far,0
4,2001-09-17,nonetheless long term prospects productivity growth economy remain favorable become evident unusual forces restraining demand abate,nonetheless long term prospect productivity growth economy remain favorable become evident unusual force restrain demand abate,0
5,2001-09-17,foreseeable future committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness,foreseeable future committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness,0
6,2001-09-17,even tragic events last week employment production business spending remained weak last week events potential damp spending further,even tragic event last week employment production business spending remain weak last week event potential damp spending far,0
7,2001-09-17,nonetheless long term prospects productivity growth economy remain favorable become evident unusual forces restraining demand abate,nonetheless long term prospect productivity growth economy remain favorable become evident unusual force restrain demand abate,0
8,2001-09-17,foreseeable future committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness,foreseeable future committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness,0
9,2001-09-17,even tragic events last week employment production business spending remained weak last week events potential damp spending further,even tragic event last week employment production business spending remain weak last week event potential damp spending far,0
10,2001-09-17,nonetheless long term prospects productivity growth economy remain favorable become evident unusual forces restraining demand abate,nonetheless long term prospect productivity growth economy remain favorable become evident unusual force restrain demand abate,0
11,2001-09-17,foreseeable future committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness,foreseeable future committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness,0
12,2001-09-17,even tragic events last week employment production business spending remained weak last week events potential damp spending further,even tragic event last week employment production business spending remain weak last week event potential damp spending far,0
13,2001-09-17,nonetheless long term prospects productivity growth economy remain favorable become evident unusual forces restraining demand abate,nonetheless long term prospect productivity growth economy remain favorable become evident unusual force restrain demand abate,0
14,2001-09-17,foreseeable future committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness,foreseeable future committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness,0
